nutrients,treatment,species,N,maximum_RGR,sd,se,label
high,LM,LM,6,0.36415287,0.04681644,0.01911273,a
high,LMSP,LM,6,0.30079275,0.05763285,0.023528511,a
high,LMSPWB,LM,6,0.32024299,0.05468087,0.022323372,a
high,LMWB,LM,6,0.29627188,0.02935396,0.011983704,a
low,LM,LM,6,0.1587481,0.03716413,0.015172193,b
low,LMSP,LM,6,0.1401077,0.0435973,0.017798523,b
low,LMSPWB,LM,6,0.15677679,0.0288035,0.011758979,b
low,LMWB,LM,6,0.15556686,0.0198133,0.008088748,b
high,LMSP,SP,6,0.28040861,0.06265909,0.025580468,a
high,LMSPWB,SP,6,0.25514813,0.05060108,0.020657802,a
high,SP,SP,6,0.29542568,0.05186791,0.021174984,a
high,SPWB,SP,6,0.24595243,0.02361999,0.009642822,a
low,LMSP,SP,6,0.10298208,0.04064487,0.0165932,b
low,LMSPWB,SP,6,0.08741387,0.03182929,0.012994252,b
low,SP,SP,6,0.10729006,0.03920124,0.016003837,b
low,SPWB,SP,6,0.12071229,0.06212677,0.025363147,b
low,LMWB,WB,6,0.13357259,0.06112764,0.024955253,c
low,LMSPWB,WB,6,0.1344315,0.11990031,0.048949098,c
low,WB,WB,6,0.13942639,0.06236897,0.025462027,c
low,SPWB,WB,6,0.15362809,0.10339508,0.042210864,"b,c"
high,LMSPWB,WB,6,0.28323122,0.04153767,0.016957683,"a,b"
high,LMWB,WB,6,0.30003338,0.05186857,0.021175256,a
high,SPWB,WB,6,0.32810038,0.04532543,0.01850403,a
high,WB,WB,6,0.33616481,0.0443886,0.01812157,a
